"DO NOT MODIFY THIS SHEET UNLESS IT IS NECESSARY!
In column C, put the name of the worksheet containing the Supporting information for a given instruction.
In columns D, E, F, add text to be concatenated for writing a protocol.",,,,,,
PREPARING THE SAMPLES,What is the type of sample you will analyze?,Sample type,The_final_sample_to_be_analyzed_is_in_,gas,_phase._,The_final_sample_to_be_analyzed_is_in_gas_phase._
PREPARING THE SAMPLES,Will you prepare subsamples from the sample?,Subsampling,,Subsamples_are_taken_for_additional_analyses_(ex:_total_C&N_for_reference_or_normalization_issue).,_,Subsamples_are_taken_for_additional_analyses_(ex:_total_C&N_for_reference_or_normalization_issue)._
PREPARING THE SAMPLES,Will you prepare subsamples from the sample?,Subsampling,,No_subsamples_are_prepared_-_WATCH_OUT:_only_one_type_of_analyses_will_be_possible!,_,No_subsamples_are_prepared_-_WATCH_OUT:_only_one_type_of_analyses_will_be_possible!_
PREPARING THE SAMPLES,Choose the temperature at which the sample will be stored before further processing:,Temperature before processing,"Before_being_processed,_the_sample_is_stored_",at_-80_degree_Celsius,._,"Before_being_processed,_the_sample_is_stored_at_-80_degree_Celsius._"
PREPARING THE SAMPLES,Choose the temperature at which the sample will be stored before further processing:,Temperature before processing,"Before_being_processed,_the_sample_is_stored_",at_-20_degree_Celsius,._,"Before_being_processed,_the_sample_is_stored_at_-20_degree_Celsius._"
PREPARING THE SAMPLES,Choose the temperature at which the sample will be stored before further processing:,Temperature before processing,"Before_being_processed,_the_sample_is_stored_",at_+4_degree_Celsius,._,"Before_being_processed,_the_sample_is_stored_at_+4_degree_Celsius._"
PREPARING THE SAMPLES,Choose the temperature at which the sample will be stored before further processing:,Temperature before processing,"Before_being_processed,_the_sample_is_stored_",at_ambient_temperature,._,"Before_being_processed,_the_sample_is_stored_at_ambient_temperature._"
PREPARING THE SAMPLES,Which type of sample processing will you consider?,Processing type,,,,
PREPARING THE SAMPLES,Which type of sample processing will you consider?,Processing type,,,,
PREPARING THE SAMPLES,Which type of sample processing will you consider?,Processing type,,,,
PREPARING THE SAMPLES,Please define a centrifugation option:,Centrifugation,,The_sample_is_submitted_to_low-speed_centrifugation.,_,The_sample_is_submitted_to_low-speed_centrifugation._
PREPARING THE SAMPLES,Please define a centrifugation option:,Centrifugation,,The_sample_is_submitted_to_ultracentrifugation.,_,The_sample_is_submitted_to_ultracentrifugation._
